last_name,first_name,full_name,birthday,gender,type,state,district,party,url,address,phone,contact_form,twitter,facebook,youtube,youtube_id,bioguide_id,thomas_id,opensecrets_id,lis_id,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,icpsr_id,wikipedia_id
Brown,Sherrod,Sherrod Brown,1952-11-09,M,sen,OH,,Democrat,https://www.brown.senate.gov,503 Hart Senate Office Building Washington DC 20510,202-224-2315,http://www.brown.senate.gov/contact/,SenSherrodBrown,SenatorSherrodBrown,SherrodBrownOhio,UCgy8jfERh-t_ixkKKoCmglQ,B000944,136,N00003535,S307,5051,400050,27018,Sherrod Brown,29389,Sherrod Brown
Cantwell,Maria,Maria Cantwell,1958-10-13,F,sen,WA,,Democrat,https://www.cantwell.senate.gov,511 Hart Senate Office Building Washington DC 20510,202-224-3441,http://www.cantwell.senate.gov/public/index.cfm/email-maria,SenatorCantwell,senatorcantwell,SenatorCantwell,UCN52UDqKgvHRk39ncySrIMw,C000127,172,N00007836,S275,26137,300018,27122,Maria Cantwell,39310,Maria Cantwell
Cardin,Benjamin,Benjamin L. Cardin,1943-10-05,M,sen,MD,,Democrat,https://www.cardin.senate.gov,509 Hart Senate Office Building Washington DC 20510,202-224-4524,http://www.cardin.senate.gov/contact/,SenatorCardin,senatorbencardin,senatorcardin,UCiQaJnMzlfzzG3VESgyZChA,C000141,174,N00001955,S308,4004,400064,26888,Ben Cardin,15408,Ben Cardin
Carper,Thomas,Thomas R. Carper,1947-01-23,M,sen,DE,,Democrat,https://www.carper.senate.gov/public,513 Hart Senate Office Building Washington DC 20510,202-224-2441,http://www.carper.senate.gov/public/index.cfm/email-senator-carper,SenatorCarper,tomcarper,senatorcarper,UCgLnvbKwu4B3navofj6Qvvw,C000174,179,N00012508,S277,663,300019,22421,Tom Carper,15015,Tom Carper
Casey,Robert,Robert P. Casey Jr.,1960-04-13,M,sen,PA,,Democrat,https://www.casey.senate.gov,393 Russell Senate Office Building Washington DC 20510,202-224-6324,https://www.casey.senate.gov/contact/,SenBobCasey,SenatorBobCasey,SenatorBobCasey,UCtVssXhx-KuZa-hSvnsnJ0A,C001070,1828,N00027503,S309,47036,412246,2541,Bob Casey Jr.,40703,Bob Casey Jr.
Feinstein,Dianne,Dianne Feinstein,1933-06-22,F,sen,CA,,Democrat,https://www.feinstein.senate.gov,331 Hart Senate Office Building Washington DC 20510,202-224-3841,https://www.feinstein.senate.gov/public/index.cfm/e-mail-me,SenFeinstein,senatorfeinstein,SenatorFeinstein,UCtVC--6LR0ff2aOP8THpuEw,F000062,1332,N00007364,S221,13061,300043,53273,Dianne Feinstein,49300,Dianne Feinstein
Klobuchar,Amy,Amy Klobuchar,1960-05-25,F,sen,MN,,Democrat,https://www.klobuchar.senate.gov,425 Dirksen Senate Office Building Washington DC 20510,202-224-3244,http://www.klobuchar.senate.gov/public/index.cfm/contact,SenAmyKlobuchar,,senatorklobuchar,UCvdeJsDsV51tFb_hVqvtYGA,K000367,1826,N00027500,S311,83701,412242,65092,Amy Klobuchar,40700,Amy Klobuchar
Menendez,Robert,Robert Menendez,1954-01-01,M,sen,NJ,,Democrat,https://www.menendez.senate.gov,528 Hart Senate Office Building Washington DC 20510,202-224-4744,https://www.menendez.senate.gov/contact,SenatorMenendez,senatormenendez,SenatorMenendezNJ,UC0PV0K9Z5a9p3D5917KF5fw,M000639,791,N00000699,S306,29608,400272,26961,Bob Menendez,29373,Bob Menendez
Sanders,Bernard,Bernard Sanders,1941-09-08,M,sen,VT,,Independent,https://www.sanders.senate.gov,332 Dirksen Senate Office Building Washington DC 20510,202-224-5141,http://www.sanders.senate.gov/contact/,SenSanders,senatorsanders,senatorsanders,UCD_DaKNac0Ta-2PeHuoQ1uA,S000033,1010,N00000528,S313,994,400357,27110,Bernie Sanders,29147,Bernie Sanders
Stabenow,Debbie,Debbie Stabenow,1950-04-29,F,sen,MI,,Democrat,https://www.stabenow.senate.gov,731 Hart Senate Office Building Washington DC 20510,202-224-4822,https://www.stabenow.senate.gov/contact,SenStabenow,SenatorStabenow,senatorstabenow,UCFoDKCvxSwCUfDv-4Eg4K5A,S000770,1531,N00004118,S284,45451,300093,515,Debbie Stabenow,29732,Debbie Stabenow
Tester,Jon,Jon Tester,1956-08-21,M,sen,MT,,Democrat,https://www.tester.senate.gov,311 Hart Senate Office Building Washington DC 20510,202-224-2644,https://www.tester.senate.gov/?p=email_senator,SenatorTester,senatortester,senatorjontester,UCgXAF-CON1coZFMxQkfj0fg,T000464,1829,N00027605,S314,1020176,412244,20928,Jon Tester,40702,Jon Tester
