zip,cd
36033,0101
36401,0101
36420,0101
36425,0101
36426,0101
36432,0101
36439,0101
36441,0101
36444,0101
36445,0101
36451,0101
36458,0101
36460,0101
36470,0101
36471,0101
36475,0101
36480,0101
36481,0101
36482,0101
36483,0101
36502,0101
36503,0101
36505,0101
36507,0101
36509,0101
36511,0101
36512,0101
36513,0101
36518,0101
36521,0101
36522,0101
36523,0101
36525,0101
36526,0101
36527,0101
36528,0101
36529,0101
36530,0101
36532,0101
36533,0101
36535,0101
36536,0101
36538,0101
36539,0101
36541,0101
36542,0101
36543,0101
36544,0101
36545,0101
36547,0101
36548,0101
36549,0101
36550,0101
36551,0101
36553,0101
36555,0101
36556,0101
36558,0101
36559,0101
36560,0101
36561,0101
36562,0101
36564,0101
36567,0101
36568,0101
36569,0101
36571,0101
36572,0101
36574,0101
36575,0101
36576,0101
36577,0101
36578,0101
36579,0101
36580,0101
36581,0101
36582,0101
36583,0101
36584,0101
36585,0101
36587,0101
36590,0101
36601,0101
36602,0101
36603,0101
36604,0101
36605,0101
36606,0101
36607,0101
36608,0101
36609,0101
36610,0101
36611,0101
36612,0101
36613,0101
36615,0101
36616,0101
36617,0101
36618,0101
36619,0101
36633,0101
36640,0101
36644,0101
36652,0101
36660,0101
36663,0101
36670,0101
36671,0101
36675,0101
36685,0101
36688,0101
36689,0101
36691,0101
36693,0101
36695,0101
36753,0101
36768,0101
35010,0102
36003,0102
36005,0102
36006,0102
36008,0102
36009,0102
36010,0102
36015,0102
36016,0102
36017,0102
36020,0102
36022,0102
36024,0102
36025,0102
36026,0102
36027,0102
36028,0102
36029,0102
36030,0102
36032,0102
36033,0102
36034,0102
36035,0102
36036,0102
36037,0102
36038,0102
36041,0102
36042,0102
36043,0102
36046,0102
36047,0102
36048,0102
36049,0102
36051,0102
36052,0102
36053,0102
36054,0102
36064,0102
36066,0102
36067,0102
36068,0102
36069,0102
36071,0102
36072,0102
36078,0102
36079,0102
36080,0102
36081,0102
36082,0102
36089,0102
36091,0102
36092,0102
36093,0102
36101,0102
36102,0102
36103,0102
36104,0102
36105,0102
36106,0102
36107,0102
36108,0102
36109,0102
36110,0102
36111,0102
36112,0102
36113,0102
36114,0102
36115,0102
36116,0102
36117,0102
36118,0102
36120,0102
36121,0102
36123,0102
36124,0102
36125,0102
36301,0102
36302,0102
36303,0102
36305,0102
36310,0102
36311,0102
36312,0102
36313,0102
36314,0102
36316,0102
36317,0102
36318,0102
36319,0102
36320,0102
36321,0102
36322,0102
36323,0102
36330,0102
36340,0102
36343,0102
36344,0102
36345,0102
36346,0102
36349,0102
36350,0102
36351,0102
36352,0102
36353,0102
36360,0102
36361,0102
36362,0102
36370,0102
36371,0102
36373,0102
36374,0102
36375,0102
36376,0102
36401,0102
36420,0102
36421,0102
36432,0102
36442,0102
36453,0102
36454,0102
36455,0102
36456,0102
36460,0102
36467,0102
36471,0102
36473,0102
36474,0102
36475,0102
36476,0102
36477,0102
36483,0102
36502,0102
36703,0102
36749,0102
36758,0102
30165,0103
31905,0103
35004,0103
35010,0103
35014,0103
35032,0103
35044,0103
35052,0103
35054,0103
35072,0103
35082,0103
35089,0103
35094,0103
35096,0103
35112,0103
35120,0103
35121,0103
35125,0103
35128,0103
35131,0103
35133,0103
35135,0103
35146,0103
35149,0103
35150,0103
35151,0103
35160,0103
35173,0103
35178,0103
35901,0103
35903,0103
35905,0103
35906,0103
35953,0103
35954,0103
35959,0103
35960,0103
35961,0103
35967,0103
35972,0103
35973,0103
35983,0103
35987,0103
36013,0103
36026,0103
36027,0103
36029,0103
36031,0103
36039,0103
36047,0103
36052,0103
36057,0103
36064,0103
36065,0103
36075,0103
36078,0103
36083,0103
36087,0103
36088,0103
36089,0103
36104,0103
36116,0103
36117,0103
36119,0103
36130,0103
36131,0103
36201,0103
36202,0103
36203,0103
36204,0103
36205,0103
36206,0103
36207,0103
36250,0103
36251,0103
36253,0103
36254,0103
36255,0103
36256,0103
36257,0103
36258,0103
36260,0103
36261,0103
36262,0103
36263,0103
36264,0103
36265,0103
36266,0103
36267,0103
36268,0103
36269,0103
36271,0103
36272,0103
36273,0103
36274,0103
36275,0103
36276,0103
36277,0103
36278,0103
36279,0103
36280,0103
36801,0103
36803,0103
36804,0103
36830,0103
36831,0103
36832,0103
36849,0103
36850,0103
36851,0103
36852,0103
36853,0103
36854,0103
36855,0103
36856,0103
36858,0103
36860,0103
36861,0103
36862,0103
36863,0103
36865,0103
36866,0103
36867,0103
36868,0103
36869,0103
36870,0103
36871,0103
36874,0103
36875,0103
36877,0103
36879,0103
35006,0104
35016,0104
35019,0104
35031,0104
35033,0104
35038,0104
35053,0104
35055,0104
35056,0104
35057,0104
35058,0104
35062,0104
35063,0104
35070,0104
35077,0104
35083,0104
35087,0104
35098,0104
35121,0104
35130,0104
35148,0104
35175,0104
35179,0104
35401,0104
35406,0104
35444,0104
35446,0104
35452,0104
35457,0104
35458,0104
35466,0104
35473,0104
35475,0104
35476,0104
35480,0104
35490,0104
35501,0104
35502,0104
35503,0104
35504,0104
35540,0104
35541,0104
35542,0104
35543,0104
35544,0104
35545,0104
35546,0104
35548,0104
35549,0104
35550,0104
35551,0104
35552,0104
35553,0104
35554,0104
35555,0104
35559,0104
35560,0104
35563,0104
35564,0104
35565,0104
35570,0104
35571,0104
35572,0104
35573,0104
35574,0104
35575,0104
35576,0104
35577,0104
35578,0104
35579,0104
35580,0104
35581,0104
35582,0104
35584,0104
35585,0104
35586,0104
35587,0104
35592,0104
35593,0104
35594,0104
35603,0104
35616,0104
35618,0104
35619,0104
35621,0104
35622,0104
35643,0104
35646,0104
35650,0104
35651,0104
35653,0104
35654,0104
35660,0104
35661,0104
35672,0104
35673,0104
35674,0104
35747,0104
35754,0104
35755,0104
35760,0104
35765,0104
35769,0104
35771,0104
35776,0104
35901,0104
35902,0104
35903,0104
35904,0104
35905,0104
35906,0104
35907,0104
35950,0104
35951,0104
35952,0104
35954,0104
35956,0104
35957,0104
35959,0104
35961,0104
35962,0104
35963,0104
35964,0104
35966,0104
35967,0104
35968,0104
35971,0104
35972,0104
35973,0104
35974,0104
35975,0104
35976,0104
35978,0104
35979,0104
35980,0104
35981,0104
35983,0104
35984,0104
35986,0104
35988,0104
35989,0104
35990,0104
36040,0104
36271,0104
36272,0104
35016,0105
35019,0105
35087,0105
35175,0105
35179,0105
35601,0105
35602,0105
35603,0105
35610,0105
35611,0105
35612,0105
35613,0105
35614,0105
35615,0105
35617,0105
35619,0105
35620,0105
35621,0105
35622,0105
35630,0105
35631,0105
35632,0105
35633,0105
35634,0105
35640,0105
35645,0105
35647,0105
35648,0105
35649,0105
35652,0105
35670,0105
35671,0105
35673,0105
35677,0105
35739,0105
35740,0105
35741,0105
35742,0105
35744,0105
35745,0105
35746,0105
35748,0105
35749,0105
35750,0105
35751,0105
35752,0105
35754,0105
35755,0105
35756,0105
35757,0105
35758,0105
35759,0105
35760,0105
35761,0105
35762,0105
35763,0105
35764,0105
35765,0105
35766,0105
35767,0105
35768,0105
35769,0105
35771,0105
35772,0105
35773,0105
35774,0105
35775,0105
35776,0105
35801,0105
35802,0105
35803,0105
35804,0105
35805,0105
35806,0105
35807,0105
35808,0105
35809,0105
35810,0105
35811,0105
35812,0105
35813,0105
35814,0105
35815,0105
35816,0105
35824,0105
35893,0105
35894,0105
35895,0105
35896,0105
35897,0105
35898,0105
35899,0105
35958,0105
35966,0105
35978,0105
35979,0105
35005,0106
35006,0106
35007,0106
35010,0106
35013,0106
35015,0106
35020,0106
35022,0106
35023,0106
35031,0106
35034,0106
35035,0106
35036,0106
35040,0106
35042,0106
35043,0106
35045,0106
35046,0106
35048,0106
35049,0106
35051,0106
35060,0106
35061,0106
35062,0106
35063,0106
35068,0106
35071,0106
35072,0106
35073,0106
35074,0106
35078,0106
35079,0106
35080,0106
35085,0106
35089,0106
35091,0106
35094,0106
35097,0106
35111,0106
35114,0106
35115,0106
35116,0106
35117,0106
35118,0106
35119,0106
35121,0106
35123,0106
35124,0106
35126,0106
35127,0106
35128,0106
35130,0106
35133,0106
35136,0106
35137,0106
35139,0106
35142,0106
35143,0106
35146,0106
35147,0106
35148,0106
35150,0106
35151,0106
35171,0106
35172,0106
35173,0106
35176,0106
35178,0106
35180,0106
35181,0106
35182,0106
35183,0106
35184,0106
35185,0106
35186,0106
35187,0106
35188,0106
35205,0106
35206,0106
35207,0106
35209,0106
35210,0106
35211,0106
35212,0106
35213,0106
35214,0106
35215,0106
35216,0106
35217,0106
35219,0106
35222,0106
35223,0106
35224,0106
35226,0106
35229,0106
35232,0106
35235,0106
35236,0106
35238,0106
35242,0106
35243,0106
35244,0106
35253,0106
35255,0106
35260,0106
35261,0106
35266,0106
35468,0106
35482,0106
35952,0106
35980,0106
36006,0106
36016,0106
36026,0106
36051,0106
36080,0106
36091,0106
36319,0106
36750,0106
36758,0106
36790,0106
36792,0106
36793,0106
35005,0107
35020,0107
35021,0107
35022,0107
35023,0107
35042,0107
35061,0107
35064,0107
35068,0107
35111,0107
35117,0107
35127,0107
35184,0107
35188,0107
35201,0107
35202,0107
35203,0107
35204,0107
35205,0107
35206,0107
35207,0107
35208,0107
35209,0107
35210,0107
35211,0107
35212,0107
35213,0107
35214,0107
35215,0107
35217,0107
35218,0107
35220,0107
35221,0107
35222,0107
35223,0107
35224,0107
35228,0107
35231,0107
35233,0107
35234,0107
35235,0107
35244,0107
35259,0107
35270,0107
35285,0107
35294,0107
35401,0107
35402,0107
35403,0107
35404,0107
35405,0107
35407,0107
35440,0107
35441,0107
35442,0107
35443,0107
35444,0107
35446,0107
35447,0107
35448,0107
35449,0107
35452,0107
35453,0107
35456,0107
35459,0107
35460,0107
35461,0107
35462,0107
35463,0107
35464,0107
35466,0107
35469,0107
35470,0107
35471,0107
35473,0107
35474,0107
35476,0107
35477,0107
35478,0107
35480,0107
35481,0107
35486,0107
35490,0107
35491,0107
35555,0107
35574,0107
35576,0107
36030,0107
36032,0107
36040,0107
36043,0107
36047,0107
36104,0107
36105,0107
36106,0107
36108,0107
36113,0107
36116,0107
36435,0107
36436,0107
36446,0107
36451,0107
36482,0107
36524,0107
36540,0107
36545,0107
36558,0107
36701,0107
36703,0107
36720,0107
36722,0107
36723,0107
36726,0107
36727,0107
36728,0107
36732,0107
36736,0107
36738,0107
36740,0107
36741,0107
36742,0107
36744,0107
36745,0107
36748,0107
36749,0107
36751,0107
36752,0107
36754,0107
36756,0107
36758,0107
36759,0107
36761,0107
36763,0107
36764,0107
36765,0107
36766,0107
36767,0107
36768,0107
36769,0107
36773,0107
36775,0107
36776,0107
36782,0107
36783,0107
36784,0107
36785,0107
36786,0107
36901,0107
36904,0107
36907,0107
36908,0107
36910,0107
36912,0107
36913,0107
36915,0107
36916,0107
36919,0107
36921,0107
36922,0107
36925,0107
99501,0200
99502,0200
99503,0200
99504,0200
99505,0200
99506,0200
99507,0200
99508,0200
99509,0200
99510,0200
99511,0200
99513,0200
99514,0200
99515,0200
99516,0200
99517,0200
99518,0200
99519,0200
99520,0200
99521,0200
99522,0200
99523,0200
99524,0200
99529,0200
99530,0200
99540,0200
99545,0200
99546,0200
99547,0200
99548,0200
99549,0200
99550,0200
99551,0200
99552,0200
99553,0200
99554,0200
99555,0200
99556,0200
99557,0200
99558,0200
99559,0200
99561,0200
99563,0200
99564,0200
99565,0200
99566,0200
99567,0200
99568,0200
99569,0200
99571,0200
99572,0200
99573,0200
99574,0200
99575,0200
99576,0200
99577,0200
99578,0200
99579,0200
99580,0200
99581,0200
99583,0200
99585,0200
99586,0200
99587,0200
99588,0200
99589,0200
99590,0200
99591,0200
99599,0200
99602,0200
99603,0200
99604,0200
99605,0200
99606,0200
99607,0200
99608,0200
99609,0200
99610,0200
99611,0200
99612,0200
99613,0200
99614,0200
99615,0200
99619,0200
99620,0200
99621,0200
99622,0200
99623,0200
99624,0200
99625,0200
99626,0200
99627,0200
99628,0200
99630,0200
99631,0200
99632,0200
99633,0200
99634,0200
99635,0200
99636,0200
99637,0200
99638,0200
99639,0200
99640,0200
99641,0200
99643,0200
99644,0200
99645,0200
99647,0200
99648,0200
99649,0200
99650,0200
99651,0200
99652,0200
99653,0200
99654,0200
99655,0200
99656,0200
99657,0200
99658,0200
99659,0200
99660,0200
99661,0200
99662,0200
99663,0200
99664,0200
99665,0200
99666,0200
99667,0200
99668,0200
99669,0200
99670,0200
99671,0200
99672,0200
99674,0200
99675,0200
99676,0200
99677,0200
99678,0200
99679,0200
99680,0200
99681,0200
99682,0200
99683,0200
99684,0200
99685,0200
99686,0200
99687,0200
99688,0200
99689,0200
99690,0200
99691,0200
99692,0200
99693,0200
99694,0200
99701,0200
99702,0200
99703,0200
99704,0200
99705,0200
99706,0200
99707,0200
99708,0200
99709,0200
99712,0200
99714,0200
99720,0200
99721,0200
99722,0200
99723,0200
99724,0200
99725,0200
99726,0200
99727,0200
99729,0200
99730,0200
99731,0200
99732,0200
99733,0200
99734,0200
99736,0200
99737,0200
99738,0200
99739,0200
99740,0200
99741,0200
99742,0200
99743,0200
99744,0200
99745,0200
99746,0200
99747,0200
99748,0200
99749,0200
99750,0200
99751,0200
99752,0200
99753,0200
99754,0200
99755,0200
99756,0200
99757,0200
99758,0200
99759,0200
99760,0200
99761,0200
99762,0200
99763,0200
99764,0200
99765,0200
99766,0200
99767,0200
99768,0200
99769,0200
99770,0200
99771,0200
99772,0200
99773,0200
99774,0200
99775,0200
99776,0200
99777,0200
99778,0200
99780,0200
99781,0200
99782,0200
99783,0200
99784,0200
99785,0200
99786,0200
99788,0200
99789,0200
99790,0200
99791,0200
99801,0200
99820,0200
99824,0200
99825,0200
99826,0200
99827,0200
99829,0200
99830,0200
99832,0200
99833,0200
99835,0200
99836,0200
99840,0200
99841,0200
99901,0200
99903,0200
99918,0200
99919,0200
99921,0200
99922,0200
99923,0200
99925,0200
99926,0200
99927,0200
99928,0200
99929,0200
85121,0401
85122,0401
85123,0401
85128,0401
85130,0401
85131,0401
85132,0401
85135,0401
85137,0401
85138,0401
85139,0401
85141,0401
85142,0401
85145,0401
85147,0401
85172,0401
85173,0401
85191,0401
85192,0401
85193,0401
85194,0401
85226,0401
85248,0401
85339,0401
85501,0401
85530,0401
85531,0401
85532,0401
85533,0401
85534,0401
85535,0401
85536,0401
85539,0401
85540,0401
85542,0401
85543,0401
85546,0401
85548,0401
85550,0401
85551,0401
85552,0401
85602,0401
85618,0401
85623,0401
85631,0401
85643,0401
85652,0401
85653,0401
85654,0401
85658,0401
85704,0401
85718,0401
85737,0401
85738,0401
85739,0401
85741,0401
85742,0401
85743,0401
85755,0401
85901,0401
85902,0401
85911,0401
85920,0401
85922,0401
85923,0401
85924,0401
85925,0401
85926,0401
85927,0401
85928,0401
85929,0401
85930,0401
85931,0401
85932,0401
85933,0401
85934,0401
85935,0401
85936,0401
85937,0401
85938,0401
85939,0401
85940,0401
85941,0401
85942,0401
86001,0401
86002,0401
86003,0401
86004,0401
86005,0401
86011,0401
86015,0401
86016,0401
86017,0401
86018,0401
86020,0401
86022,0401
86023,0401
86024,0401
86025,0401
86028,0401
86029,0401
86030,0401
86031,0401
86032,0401
86033,0401
86034,0401
86035,0401
86036,0401
86038,0401
86039,0401
86040,0401
86042,0401
86043,0401
86044,0401
86045,0401
86046,0401
86047,0401
86052,0401
86053,0401
86054,0401
86322,0401
86325,0401
86335,0401
86336,0401
86339,0401
86340,0401
86342,0401
86351,0401
86434,0401
86435,0401
86502,0401
86503,0401
86504,0401
86505,0401
86506,0401
86507,0401
86508,0401
86510,0401
86511,0401
86512,0401
86514,0401
86515,0401
86520,0401
86535,0401
86538,0401
86540,0401
86544,0401
86545,0401
86547,0401
86556,0401
85602,0402
85603,0402
85605,0402
85606,0402
85607,0402
85608,0402
85609,0402
85610,0402
85611,0402
85613,0402
85614,0402
85615,0402
85616,0402
85617,0402
85619,0402
85620,0402
85622,0402
85625,0402
85626,0402
85627,0402
85629,0402
85630,0402
85632,0402
85635,0402
85636,0402
85637,0402
85638,0402
85641,0402
85643,0402
85645,0402
85650,0402
85704,0402
85705,0402
85707,0402
85708,0402
85710,0402
85711,0402
85712,0402
85713,0402
85715,0402
85716,0402
